True,Unnamed: 0,Call ID,person_ID,Referal Source,Attorney,Injury 1,Injury 2,Injury 3,Injury 4,Injury 5,surgery,injury_date,intake,take,person_id,name,sex,date of birth,Person ID Check,Facebook,Google,Other,Referal,Website,Female,Male,Age of Client,Ankle,Arm,Elbow,Eye,Foot/Feet,Hand,Hands,Head,Hip,Neck
0,0,136,100,Facebook,Patty Hewes,Head,,,,,Yes,2015-11-27,2017-02-06,No,100,Penelope Lewis,Female,1990-08-31,0,1,0,0,0,0,1,0,9219 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
1,1,137,101,Referal,Patty Hewes,Hands,Elbow,,,,Yes,2014-06-30,2017-02-07,No,101,David Anthony,Male,1971-10-14,0,0,0,0,1,0,0,1,15600 days 00:00:00.000000000,0,0,1,0,0,0,1,0,0,0
2,2,138,102,,Rachel Zane,Hip,Arm,Foot/Feet,,,No,2016-04-22,2017-02-07,No,102,Ida Shipp,Female,1962-05-24,0,0,0,0,0,0,1,0,19692 days 00:00:00.000000000,0,1,0,0,1,0,0,0,1,0
3,3,139,103,Google,Perry Mason,Eye,Ankle,,,,No,2015-08-12,2017-02-08,Yes,103,Joanna Moore,Female,2017-03-10,0,0,1,0,0,0,1,0,-576 days +00:00:00.000000000,1,0,0,1,0,0,0,0,0,0
4,4,140,104,Website,Rusty Sabich,Neck,,,,,Yes,2016-12-28,2017-02-09,No,104,Lisandra Ortiz,Female,2020-08-05,0,0,0,0,0,1,1,0,-1316 days +00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
5,5,141,105,,Atticus Finch,Hand,,,,,No,2016-09-22,2017-02-10,Yes,105,David Simmons,Male,1999-12-30,0,0,0,0,0,0,0,1,6111 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
6,6,142,106,,Atticus Finch,Eye,Ankle,Hands,,,No,2015-07-12,2017-02-10,No,106,Edward Hudson,Male,1983-05-09,0,0,0,0,0,0,0,1,11752 days 00:00:00.000000000,1,0,0,1,0,0,1,0,0,0
7,7,143,107,Google,Ally Mcbeal,Hands,,,,,No,2013-10-25,2017-02-10,No,107,Albert Jones,Male,1990-09-13,0,0,1,0,0,0,0,1,8443 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
8,8,144,108,Google,,Hands,,,,,No,2015-05-29,2017-02-11,No,108,Leonard Cavender,Male,1958-08-08,0,0,1,0,0,0,0,1,20748 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
9,9,145,109,Referal,Perry Mason,Hand,Elbow,,,,Yes,2013-07-29,2017-02-12,No,109,Everett Vadala,Male,2005-05-24,0,0,0,0,1,0,0,1,2988 days 00:00:00.000000000,0,0,1,0,0,1,0,0,0,0
10,10,146,110,Website,,Hands,,,,,No,2015-09-04,2017-02-12,No,110,Freddie Claridge,Male,2002-05-07,0,0,0,0,0,1,0,1,4868 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
11,11,147,111,Google,Daniel Kafee,Ankle,Eye,Arm,,,Yes,2015-07-05,2017-02-12,Yes,111,Annabelle Rosseau,Female,1989-07-13,0,0,1,0,0,0,1,0,9488 days 00:00:00.000000000,1,1,0,1,0,0,0,0,0,0
12,12,148,112,Website,Rusty Sabich,Hip,Foot/Feet,,,,Yes,2015-03-25,2017-02-12,No,112,Eulah Emanuel,Female,1976-01-19,0,0,0,0,0,1,1,0,14310 days 00:00:00.000000000,0,0,0,0,1,0,0,0,1,0
13,13,149,113,,Rusty Sabich,Eye,Hands,Foot/Feet,,,No,2012-10-20,2017-02-13,No,113,Shaun Love,Male,1970-05-26,0,0,0,0,0,0,0,1,15488 days 00:00:00.000000000,0,0,0,1,1,0,1,0,0,0
14,14,150,114,Google,Rusty Sabich,Hands,Hip,Ankle,,,No,2014-12-07,2017-02-14,No,114,Alejandro Brennan,Male,1980-12-22,0,0,1,0,0,0,0,1,12403 days 00:00:00.000000000,1,0,0,0,0,0,1,0,1,0
15,15,151,115,Website,Atticus Finch,Neck,,,,,Yes,2010-02-20,2017-02-14,No,115,Robert Mcreynolds,Male,1973-12-27,0,0,0,0,0,1,0,1,13204 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
16,16,152,116,Google,Daniel Kafee,Ankle,Arm,,,,No,2012-01-21,2017-02-14,No,116,Carla Spickard,Female,1985-06-13,0,0,1,0,0,0,1,0,9718 days 00:00:00.000000000,1,1,0,0,0,0,0,0,0,0
17,17,153,117,Website,Ally Mcbeal,Ankle,,,,,No,2014-11-11,2017-02-14,No,117,Florence Eberhart,Female,2024-06-01,0,0,0,0,0,1,1,0,-3490 days +00:00:00.000000000,1,0,0,0,0,0,0,0,0,0
18,18,154,118,,Atticus Finch,Eye,Hand,,,,Yes,2015-07-19,2017-02-14,No,118,Tina Gaskins,Female,1966-12-05,0,0,0,0,0,0,1,0,17758 days 00:00:00.000000000,0,0,0,1,0,1,0,0,0,0
19,19,155,119,Google,Patty Hewes,Hands,Eye,,,,Yes,2014-10-14,2017-02-14,No,119,Florence Mulhern,Female,1959-05-31,0,0,1,0,0,0,1,0,20225 days 00:00:00.000000000,0,0,0,1,0,0,1,0,0,0
20,20,156,120,Google,Rachel Zane,Eye,Head,,,,No,2014-04-19,2017-02-14,No,120,Joel Smith,Male,1996-08-13,0,0,1,0,0,0,0,1,6458 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,0
21,21,157,121,Google,Perry Mason,Hands,,,,,Yes,2016-12-15,2017-02-14,No,121,Evelyn Kriner,Female,1978-09-16,0,0,1,0,0,0,1,0,13970 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
22,22,158,122,Referal,Rachel Zane,Eye,Elbow,,,,Yes,2015-06-03,2017-02-14,Yes,122,Heather Luce,Female,2012-02-24,0,0,0,0,1,0,1,0,1195 days 00:00:00.000000000,0,0,1,1,0,0,0,0,0,0
23,23,159,123,Facebook,,Ankle,Hands,Eye,,,No,2015-01-04,2017-02-15,No,123,Angel Moher,Male,2017-12-22,0,1,0,0,0,0,0,1,-1083 days +00:00:00.000000000,1,0,0,1,0,0,1,0,0,0
24,24,160,124,Google,Daniel Kafee,Head,,,,,No,2016-03-21,2017-02-15,No,124,Charles Leonard,Male,1972-03-09,0,0,1,0,0,0,0,1,16083 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
25,25,161,125,,Perry Mason,Eye,Neck,Head,,,Yes,2010-02-20,2017-02-16,No,125,Mark Miller,Male,1976-05-11,0,0,0,0,0,0,0,1,12338 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,1
26,26,162,126,,Ally Mcbeal,Neck,,,,,Yes,2012-06-28,2017-02-17,No,126,Marion Baca,Female,1948-03-04,0,0,0,0,0,0,1,0,23492 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
27,27,163,127,,Perry Mason,Arm,,,,,Yes,2013-12-28,2017-02-18,No,127,Devona Kay,Female,2009-12-30,0,0,0,0,0,0,1,0,1459 days 00:00:00.000000000,0,1,0,0,0,0,0,0,0,0
